"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","1079459785.07538","1253019985.81299","1486691280.4646","1667024562.2066","1733062101.99945","1871063627.46399","1981126193.7854","2125900800.25433","2300307636.11749","2358899781.95274","2386871336.54821","2555071151.65191","2605967807.51348","2638230786.23333","2839173960.82712","2754814813.59982","2664631917.33441","2717272980.20866","2932251756.57732","2967859536.68768","2999040092.39951","3053029591.03822","3050260247.54255","2729380539.81212","2628802064.83063","2719392023.2644","2682140077.74023","2794742549.43829","2803126777.08661","2962905027.93296","3025126021.24334","3085628514.57589","","","","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","332413861028.144","345753887929.57","346888193290.563","347513366631.415","359113027150.361","358471197930.651","366402741716.878","380826813451.636","396781049308.67","407290006698.036","407497014554.954","407108174992.09","397568848057.505","393237664710.067","401306562686.7","419004080516.529","442342732156.009","457494792861.253","465681693043.983","477807465237.001","493083651737.665","510472146755.021","530853295471.485","546290528937.642","577191898398.543","613911715966.423","654974767649.413","699888376338.281","731891046481.464","738820673505.762","776887200452.951","808072876833.347","824013340189.438","859514882216.172","893781629582.56","919930022724.422","938507003390.826","962366647531.208","986187837152.574","1006679813065.29","977091625151.706","",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7228792185.8025","7867259194.15068","7978511520.99477","8874475611.97397","9349917056.94245","10642666466.7061","11060389403.7128","13426265139.5021","15354604611.6719","15420069703.0793","17386481260.8962","18360253681.3442","18860486754.6234","19134211763.859","19566705069.6652","20084636379.3769","20323488524.6834","21118462796.7609","20621946475.7248","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","104844099903.205","106782372409.958","110808294540.704","118866828963.491","125281306615.037","130354942008.805","128025377068.507","115803407356.065","117500785400.68","135703929289.335","160007146329.389","177299932209.67","182877712751.433","190583072087.851","210117554071.38","205569949397.595","223205212840.625","233754333710.969","228625259428.378","240584167283.363","245384642358.41","228372728441.183","220721147106.467","206298786490.683","207452740169.605","218969867228.645","222067762145.339","225284162241.869","236197562440.721","241564236844.108","257417907712.142","260303740766.007","267316217601.015","264214097653.17","263422403289.938","268498625644.532","280927555195.782","292823990200.82","303091909848.769","307398953556.982","318879183365.911","335501383769.46","368714648443.907","389062203712.732","420239648040.063","444816736541.647","468723246620.823","494648269304.649","525708337567.327","558693713983.522","597562091886.637","626533999497.879","658756419175.703","698968496793.389","740398805175.859","760729687146.574","761700338996.091","779356869183.876","802365278925.656","827963431037.275","820636112652.497","",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","29612271580.7811","28309331270.146","28309331270.146","29498323587.8461","31268223641.5706","32362611309.4121","33301127601.3525","34660728934.432","36785047049.076","36800357523.3979","35530708872.9213","35882945860.208","33787998745.5715","25684481961.1038","26028490521.3401","29932764107.0538","33986968355.6358","36459274698.2462","38169632669.2898","39002299281.5232","40193672967.3138","41884218272.0008","47607984243.6713","49031391565.5298","54401732106.9773","62577722356.6046","69803999474.4559","79583552534.9145","88469962099.1788","89229664824.2972","93159279071.8947","96393747204.0151","104627881965.967","109811717090.514","115107527232.243","116193649124.151","113195795293.516","113029156434.079","110764470655.247","110072586683.261","104128680882.974","",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4650625160.56601","4917833121.09044","5062840191.20539","5118781449.61318","5054714952.74037","5144721429.23007","5434741887.0394","5391924672.26345","5315357203.75915","5838204918.06266","5279159422.75171","3800881722.94428","3527708137.71626","3864936281.97555","4185836785.30012","4743487914.07233","5175145287.86025","4610020246.04493","5017058469.28803","5663797625.16614","6057217275.17097","6559561240.86077","6857137321.17618","7236243584.07859","7635298386.90052","8057257367.83525","8532849798.07516","9043392346.22084","9721650518.69391","10047742806.9025","10420206418.2643","10685442992.7045","10836881664.2072","10945469119.3118","11139690870.7706","11386850129.8411","11764322012.1672","12211628287.1601","12702457551.515","12970913827.5704","12457862570.9615","",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859118311.597925","899062719.904123","972334025.377995","1048063942.04759","1106952451.18331","1112954410.01345","1149724053.6784","1182359839.7437","1199657766.31479","1200156310.43362","1226664494.18849","1225039476.39239","1240309117.08973","1262264055.95792","1284791514.60228","1314617089.21716","1357385813.282","1432681662.6703","1505667140.02062","1578346208.47111","1638029596.11962","1679733887.34562","1695342210.46359","1677855020.20559","1717841363.19786","1765210866.50133","1847288558.72479","2014794627.07375","2079163152.69985","2164389691.24157","2240757202.45755","2422692295.39982","2532836662.47081","2753046641.70271","2977025605.91611","3137719374.5448","3288602531.52017","3339680716.04543","3154021640.92742","2986768713.36079","2927781285.72513","2927545020.99495","2781915941.59078","2683224788.58295","2750425228.26783","2789870187.50693","2893365390.02848","2903378514.30766","2949506390.20052","3008955096.59511","2649303923.74954","",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","550301873320.424","636880375951.387","688687979613.739","685233242451.258","762351034823.285","832029276533.14","859770703952.105","786655807147.928","736692724671.457","747136673056.179","732468304359.086","765395207581.872","763108517545.503","808201293483.846","824893254648.782","926958107665.139","948621940703.23","997601074557.75","1028941593430.55","1063130976177.4","1094919041569.59","1146310460068.4","1195866539801.71","1257432528221.68","1280187978522.13","1364673792994.67","1387665961545.75","1396062958479.53","1461867253559.07","1593496042689.29","1679783873884.15","1781675531751.16","1862281278151.44","1969809311815.81","1982476624054.01","2077172086641.65","2156245406475.69","2264960921013.91","2332118132273.69","2391772244181.87","2463579840358.43","2542415224638.98","2566039016326.6","2627566299505.79","2681441590769.14","2539812021283.6","",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","54529833760.4806","63541901139.0436","77164859120.6646","75938243958.274","91827237926.2856","113750784287.714","119050634295.813","111051245756.387","105780952747.71","110030122082.676","106075115182.382","90208254592.4164","93259081262.748","90816711999.0342","102021579191.598","120720079467.026","121758371075.451","125831121452.601","127418092170.529","136205033086.855","145314271057.453","153740179652.128","166332113236.674","166817793607.374","171659202375.145","190288867862.625","192951170927.269","197646554336.871","215040520020.46","235612235112.44","247051541802.929","271354791975.408","279995787306.862","288932794417.685","273784273643.589","278172625005.8","297445839250.289","310782691949.129","326486783333.234","340885128840.366","358135057862.492","368822581887.872","377576774179.067","382069392728.146","395103837869.753","370866189764.806","",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810292.95","158982878501.396","157628310157.913","149261089200.418","164381681829.118","181755894113.782","180556802911.899","186320169964.112","195305461616.884","214210104569.27","220734180307.714","233223609574.908","237021461353.032","243685921870.563","257171024124.624","257097956428.962","251909073023.993","269376820356.684","257238364642.468","283535234200.774","287841521828.722","272903153788.289","270895516735.076","282677015448.069","287117132732.02","272218554795.346","288969188906.66","296785426414.167","293550663098.28","272541389926.803","265817211208.207","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571304530654.919","514772410744.886","",
